;country;region;gdp;life;pop;urban
161;Malta;Europe;21871,19922;78,84999847;413100;94,18333435
162;Moldova;Europe;2553,600098;68,3666687;3660717;45,06666565
163;Monaco;Europe;NA;81,7333374;35333;100
164;Montenegro;Europe;9592,799805;74,1333313;628817;61,59999847
165;Netherlands;Europe;36646,39844;80,06666565;16467100;81,58333588
166;Norway;Europe;48169,39844;80,3833313;4751700;78,46666718
167;Poland;Europe;15446,40039;75,55000305;38211584;61,18333435
168;Portugal;Europe;21628,40039;78,6333313;10616116;59,16666794
169;Romania;Europe;10560,40039;73,1166687;21622482;56,04999924
170;Russian Federation;Europe;13424,7998;67,3999939;143305536;73,0166626
171;San Marino;Europe;NA;81,44999695;31017;94,05000305
172;Serbia;Europe;9473,200195;74;9845667;55,23333359
173;Slovakia;Europe;18552,19922;74,75;5437334;55,28333282
174;Slovenia;Europe;25321,19922;78,48332977;2015533;49,81666565
175;Spain;Europe;27862,19922;80,56666565;44813184;77,03333282
176;Sweden;Europe;33621,39844;80,8833313;9201517;84,4833374
177;Switzerland;Europe;37105,80078;81,78333282;7543950;73,43333435
178;Ukraine;Europe;6124;67,73332977;46158800;68,16667175
179;United Kingdom;Europe;33295,80078;79,55000305;61099184;79,31666565
180;Angola;Oceania;4662;49,66666794;17783300;56,25
181;Australia;Oceania;33707,19922;81,40000153;21325382;88,66666412
182;Fiji;Oceania;4259,600098;68,78333282;840417;50,90000153
183;Kiribati;Oceania;2294,199951;67,1333313;95750;43,70000076
184;Marshall Is;Oceania;NA;70,8666687;52833;70,90000153
185;Micronesia;Oceania;2906,800049;68,34999847;110250;22,48333359
186;Nauru;Oceania;NA;79,46666718;10183;100
187;New Zealand;Oceania;25199,59961;80,08333588;4253334;86,1333313
188;Palau;Oceania;NA;70,66666412;20167;80,68333435
189;Papua New Guinea;Oceania;1953,800049;61,48333359;6474600;12,51666641
190;Samoa;Oceania;4012,600098;71,53333282;181600;20,66666794
191;Solomon Islands;Oceania;2249,199951;66,5;503617;17,76666641
192;Tonga;Oceania;4072,199951;71,83333588;102550;23,26666641
193;Tuvalu;Oceania;NA;66,03333282;9767;49,23333359
194;Vanuatu;Oceania;3809,800049;69,96666718;225317;24,5
